Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,1,Sat,2024-03-30,15:00,Norrköping,1–5,Malmö,13028,PlatinumCars Arena,,Match Report,
Allsvenskan,1,Sun,2024-03-31,14:00,Hammarby,3–1,Kalmar,29882,Tele2 Arena,,Match Report,
Allsvenskan,1,Sun,2024-03-31,14:00,GAIS,0–4,Brommapojkarna,8077,Gamla Ullevi (1916),,Match Report,
Allsvenskan,1,Sun,2024-03-31,16:30,BK Häcken,0–1,Mjällby,3631,Bravida Arena,,Match Report,
Allsvenskan,1,Mon,2024-04-01,14:00,Göteborg,1–4,Djurgården,17879,Gamla Ullevi (1916),,Match Report,
Allsvenskan,1,Mon,2024-04-01,14:00,Sirius,3–0,Halmstad,6449,Studenternas IP,,Match Report,
Allsvenskan,1,Mon,2024-04-01,16:30,AIK Stockholm,1–0,Västerås,36602,Strawberry Arena,,Match Report,
Allsvenskan,1,Mon,2024-04-01,16:30,Elfsborg,2–2,Värnamo,9089,Borås Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,2,Sat,2024-04-06,15:00,Brommapojkarna,2–2,AIK Stockholm,3489,Tele2 Arena,,Match Report,
Allsvenskan,2,Sat,2024-04-06,17:30,Mjällby,3–0,Norrköping,2851,Strandvallen A-Plan,,Match Report,
Allsvenskan,2,Sun,2024-04-07,14:00,Malmö,2–0,Hammarby,21357,Eleda Stadion,,Match Report,
Allsvenskan,2,Sun,2024-04-07,14:00,Halmstad,1–0,Göteborg,10011,Örjans Vall,,Match Report,
Allsvenskan,2,Sun,2024-04-07,16:30,Västerås,0–1,Elfsborg,7009,Hitachi Energy Arena,,Match Report,
Allsvenskan,2,Mon,2024-04-08,19:00,Kalmar,1–2,Sirius,5731,Guldfågeln Arena,,Match Report,
Allsvenskan,2,Mon,2024-04-08,19:00,Värnamo,1–2,GAIS,1683,Finnvedsvallen,,Match Report,
Allsvenskan,2,Mon,2024-04-08,19:10,Djurgården,3–3,BK Häcken,22485,Tele2 Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,3,Sat,2024-04-13,15:00,Mjällby,1–1,AIK Stockholm,4138,Strandvallen A-Plan,,Match Report,
