Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,1,Sun,2024-03-31,18:00,Odd,1–2,Haugesund,5649,Skagerak Arena,,Match Report,
Eliteserien,1,Mon,2024-04-01,14:30,Fredrikstad,0–2,Bodø/Glimt,10691,Nye Fredrikstad Stadion,,Match Report,
Eliteserien,1,Mon,2024-04-01,17:00,Molde,4–0,Strømsgodset,7203,Aker Stadion,,Match Report,
Eliteserien,1,Mon,2024-04-01,17:00,Rosenborg,2–0,Sandefjord,14605,Lerkendal Stadion,,Match Report,
Eliteserien,1,Mon,2024-04-01,17:00,Tromsø,2–4,Brann,4890,Romssa Arena,,Match Report,
Eliteserien,1,Mon,2024-04-01,17:00,Lillestrøm,2–3,Kristiansund,9457,Åråsen Stadion,,Match Report,
Eliteserien,1,Mon,2024-04-01,19:15,Viking,1–0,Sarpsborg 08,12521,SR-Bank Arena,,Match Report,
Eliteserien,1,Tue,2024-04-02,19:00,KFUM Oslo,1–1,HamKam,4018,KFUM Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,2,Sat,2024-04-06,18:00,Bodø/Glimt,1–0,Viking,6584,Aspmyra Stadion,,Match Report,
Eliteserien,2,Sun,2024-04-07,14:30,Kristiansund,1–1,KFUM Oslo,3549,Nordmøre Stadion,,Match Report,
Eliteserien,2,Sun,2024-04-07,17:00,Sarpsborg 08,0–1,Odd,4749,Sarpsborg Stadion,,Match Report,
Eliteserien,2,Sun,2024-04-07,17:00,HamKam,0–1,Molde,3822,Briskeby Arena,,Match Report,
Eliteserien,2,Sun,2024-04-07,17:00,Strømsgodset,1–0,Rosenborg,6206,Marienlyst Stadion,,Match Report,
Eliteserien,2,Sun,2024-04-07,17:00,Haugesund,0–2,Lillestrøm,7134,Haugesund Stadion,,Match Report,
Eliteserien,2,Sun,2024-04-07,19:15,Brann,0–2,Fredrikstad,16287,Brann Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,3,Sat,2024-04-13,18:00,Fredrikstad,2–2,Sarpsborg 08,12504,Fredrikstad Stadion,,Match Report,
Eliteserien,3,Sun,2024-04-14,14:30,Viking,1–1,Brann,15900,SR-Bank Arena,,Match Report,
Eliteserien,3,Sun,2024-04-14,17:00,Rosenborg,1–0,HamKam,11278,Lerkendal Stadion,,Match Report,
Eliteserien,3,Sun,2024-04-14,17:00,Odd,2–2,Sandefjord,5389,Skagerak Arena,,Match Report,
Eliteserien,3,Sun,2024-04-14,17:00,Tromsø,0–1,Haugesund,4031,Romssa Arena,,Match Report,
Eliteserien,3,Sun,2024-04-14,17:00,Molde,2–0,Kristiansund,8810,Aker Stadion,,Match Report,
Eliteserien,3,Sun,2024-04-14,19:15,Lillestrøm,0–5,Bodø/Glimt,8344,Åråsen Stadion,,Match Report,
Eliteserien,3,Tue,2024-04-16,19:00,KFUM Oslo,1–3,Strømsgodset,2943,Intility Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,16,Wed,2024-04-17,18:00,Brann,1–0,HamKam,14808,Brann Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,17,Wed,2024-04-17,18:00,Molde,1–2,Odd,5753,Aker Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,4,Sun,2024-04-21,14:30,HamKam,0–1,Strømsgodset,3107,Briskeby Arena,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Sarpsborg 08,0–2,KFUM Oslo,4273,Sarpsborg Stadion,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Kristiansund,1–0,Tromsø,3339,Nordmøre Stadion,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Haugesund,1–3,Rosenborg,5023,Haugesund Stadion,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Sandefjord,0–1,Lillestrøm,4089,Jotun Arena,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Brann,2–0,Odd,15564,Brann Stadion,,Match Report,
Eliteserien,4,Sun,2024-04-21,17:00,Viking,1–1,Fredrikstad,15009,SR-Bank Arena,,Match Report,
Eliteserien,4,Sun,2024-04-21,19:15,Bodø/Glimt,1–1,Molde,7127,Aspmyra Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,5,Sat,2024-04-27,18:00,Rosenborg,1–3,Bodø/Glimt,21276,Lerkendal Stadion,,Match Report,
