Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2026-08-07,20:45,Club Brugge,3–0,Kortrijk,22593,Jan Breydelstadion,Lothar D'Hondt,Match Report,
1,Sat,2026-08-08,18:15,Standard Liège,2–2,Cercle Brugge,15267,Stade Maurice Dufrasne,Jasper Vergoote,Match Report,
1,Sat,2026-08-08,20:45,Sint-Truiden,1–1,Lommel,6421,Daio Wasabi Stayen Stadium,Anthony Letellier,Match Report,
1,Sat,2026-08-08,20:45,Westerlo,1–5,Union SG,5250,Het Kuipje,Bert Put,Match Report,
1,Sun,2026-08-09,13:30,Gent,2–0,Mechelen,10930,Planet Group Arena,Erik Lambrechts,Match Report,
1,Sun,2026-08-09,16:00,Charleroi,3–1,OH Leuven,6029,Stade du Pays de Charleroi,Michiel Allaerts,Match Report,
1,Sun,2026-08-09,16:00,Zulte Waregem,2–1,Genk,7010,Elindus Arena,Kevin Van Damme,Match Report,
1,Sun,2026-08-09,18:30,Anderlecht,2–1,La Louvière,16083,Lotto Park,Lawrence Visser,Match Report,
1,Sun,2026-08-09,19:15,Antwerp,2–1,Beveren,15357,Bosuilstadion,Wesli De Cremer,Match Report,
,,,,,,,,,,,
2,Fri,2026-08-14,20:45,Cercle Brugge,3–3,Sint-Truiden,4068,Jan Breydelstadion,Jan Boterberg,Match Report,
2,Sat,2026-08-15,16:00,Union SG,0–0,Zulte Waregem,6204,Stade Joseph Mariën,Lothar D'Hondt,Match Report,
2,Sat,2026-08-15,18:15,Kortrijk,0–3,Antwerp,7912,,Nicolas Laforge,Match Report,
2,Sat,2026-08-15,20:45,Genk,3–2,Westerlo,15245,Cegeka Arena,Lawrence Visser,Match Report,
2,Sat,2026-08-15,20:45,OH Leuven,0–3,Club Brugge,6735,King Power at Den Dreef Stadion,Jasper Vergoote,Match Report,
2,Sun,2026-08-16,13:30,Beveren,1–0,Anderlecht,5804,,Nathan Verboomen,Match Report,
2,Sun,2026-08-16,16:00,La Louvière,1–2,Gent,3976,Easi Arena,Bert Put,Match Report,
2,Sun,2026-08-16,18:30,Mechelen,3–3,Standard Liège,13122,AFAS Stadion,Bram Van Driessche,Match Report,
2,Sun,2026-08-16,19:15,Lommel,0–1,Charleroi,3409,Soevereinstadion,Kevin Van Damme,Match Report,
,,,,,,,,,,,
3,Fri,2026-08-21,20:45,Standard Liège,2–0,La Louvière,16647,Stade Maurice Dufrasne,Nathan Verboomen,Match Report,
3,Sat,2026-08-22,16:00,Zulte Waregem,4–0,Beveren,6311,Elindus Arena,Michiel Allaerts,Match Report,
3,Sat,2026-08-22,18:15,Charleroi,2–0,Mechelen,6330,Stade du Pays de Charleroi,Jan Boterberg,Match Report,
3,Sat,2026-08-22,20:45,Antwerp,4–4,Genk,14544,Bosuilstadion,Jasper Vergoote,Match Report,
3,Sun,2026-08-23,16:00,Lommel,4–0,Westerlo,3540,Soevereinstadion,Bert Verbeke,Match Report,
3,Sun,2026-08-23,18:30,Club Brugge,1–0,Cercle Brugge,24874,Jan Breydelstadion,Nicolas Laforge,Match Report,
,,,,,,,,,,,
4,Fri,2026-08-28,20:45,Genk,4–0,Beveren,13252,Cegeka Arena,Bert Verbeke,Match Report,
4,Sat,2026-08-29,16:00,La Louvière,2–2,Mechelen,3998,Easi Arena,Anthony Letellier,Match Report,
4,Sat,2026-08-29,18:15,Kortrijk,1–3,Charleroi,6237,,Wesli De Cremer,Match Report,
4,Sat,2026-08-29,20:45,OH Leuven,1–2,Standard Liège,5373,King Power at Den Dreef Stadion,Kevin Van Damme,Match Report,
4,Sat,2026-08-29,20:45,Cercle Brugge,0–1,Lommel,3385,Jan Breydelstadion,Massimiliano Ledda,Match Report,
4,Sun,2026-08-30,13:30,Gent,2–1,Club Brugge,17396,Planet Group Arena,Erik Lambrechts,Match Report,
4,Sun,2026-08-30,16:00,Antwerp,1–4,Sint-Truiden,14585,Bosuilstadion,Bram Van Driessche,Match Report,
4,Sun,2026-08-30,18:30,Union SG,3–0,Anderlecht,7997,Stade Joseph Mariën,Lawrence Visser,Match Report,
4,Sun,2026-08-30,19:15,Westerlo,2–2,Zulte Waregem,5014,Het Kuipje,Simon Bourdeaud'hui,Match Report,
,,,,,,,,,,,
3,Wed,2026-09-02,20:30,Sint-Truiden,0–3,Union SG,6918,Daio Wasabi Stayen Stadium,Nathan Verboomen,Match Report,
3,Thu,2026-09-03,20:30,Gent,1–0,OH Leuven,9647,Planet Group Arena,Michiel Allaerts,Match Report,
3,Thu,2026-09-03,20:30,Anderlecht,1–0,Kortrijk,13751,Lotto Park,Bert Put,Match Report,
,,,,,,,,,,,
