Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2026-08-28,20:30,Bayern Munich,5–1,Stuttgart,75000,Allianz Arena,Sören Storks,Match Report,
1,Sat,2026-08-29,15:30,RB Leipzig,3–0,Gladbach,47800,Red Bull Arena,Sven Jablonski,Match Report,
1,Sat,2026-08-29,15:30,Elversberg,3–2,Leverkusen,9307,Ursapharm-Arena an der Kaiserlinde,Robert Hartmann,Match Report,
1,Sat,2026-08-29,15:30,Mainz 05,0–0,Paderborn 07,33305,Mewa Arena,Tobias Stieler,Match Report,
1,Sat,2026-08-29,15:30,Union Berlin,3–3,Frankfurt,22012,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
1,Sat,2026-08-29,15:30,Köln,3–2,Hoffenheim,49700,RheinEnergieSTADION,Florian Badstübner,Match Report,
1,Sat,2026-08-29,18:30,Dortmund,2–0,Hamburger SV,81365,Signal Iduna Park,Felix Zwayer,Match Report,
1,Sun,2026-08-30,15:30,Freiburg,4–1,Werder Bremen,34700,Europa-Park Stadion,Daniel Siebert,Match Report,
1,Sun,2026-08-30,17:30,Augsburg,3–0,Schalke 04,30660,WWK Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
2,Fri,2026-09-04,20:30,Stuttgart,4–1,Köln,60058,MHPArena,Christian Dingert,Match Report,
2,Sat,2026-09-05,15:30,Hoffenheim,2–3,Dortmund,30150,PreZero Arena,Matthias Jöllenbeck,Match Report,
2,Sat,2026-09-05,15:30,Werder Bremen,3–1,RB Leipzig,39700,Weserstadion,Benjamin Brand,Match Report,
2,Sat,2026-09-05,15:30,Leverkusen,4–0,Union Berlin,29629,BayArena,Robin Braun,Match Report,
2,Sat,2026-09-05,15:30,Gladbach,3–4,Elversberg,51042,Stadion im Borussia-Park,Martin Petersen,Match Report,
2,Sat,2026-09-05,15:30,Paderborn 07,0–1,Freiburg,15000,Home Deluxe Arena,Max Burda,Match Report,
2,Sat,2026-09-05,18:30,Schalke 04,0–0,Bayern Munich,62094,Veltins-Arena,Robert Schröder,Match Report,
2,Sun,2026-09-06,15:30,Hamburger SV,0–5,Mainz 05,57000,Volksparkstadion,Tobias Reichel,Match Report,
2,Sun,2026-09-06,17:30,Frankfurt,1–4,Augsburg,59100,Deutsche Bank Park,Daniel Schlager,Match Report,
,,,,,,,,,,,
3,Fri,2026-09-11,20:30,Union Berlin,,Schalke 04,,Stadion An der Alten Försterei,,Head-to-Head,
3,Sat,2026-09-12,15:30,Mainz 05,,Frankfurt,,Mewa Arena,,Head-to-Head,
