Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2026-08-07,20:00,Cambuur,0–4,Excelsior,14105,Kooi Stadion,Allard Lindhout,Match Report,
1,Sat,2026-08-08,16:30,NEC Nijmegen,1–2,Telstar,12650,Goffertstadion,Martijn Vos,Match Report,
1,Sat,2026-08-08,18:45,Go Ahead Eagles,4–1,Willem II,9288,De Adelaarshorst,Robin Hensgens,Match Report,
1,Sat,2026-08-08,20:00,PSV,2–2,Fortuna Sittard,33400,Philips Stadion,Alex Bos,Match Report,
1,Sat,2026-08-08,21:00,AZ Alkmaar,2–0,ADO Den Haag,17170,AFAS Stadion,Erwin Blank,Match Report,
1,Sun,2026-08-09,12:15,Sparta R.,0–1,Feyenoord,10494,Sparta-Stadion Het Kasteel,Sander van der Eijk,Match Report,
1,Sun,2026-08-09,14:30,Groningen,2–1,Utrecht,22525,Euroborg,Joey Kooij,Match Report,
1,Sun,2026-08-09,14:30,Zwolle,0–2,Ajax,14000,MAC³PARK Stadion,Jannick van der Laan,Match Report,
1,Sun,2026-08-09,16:45,Heerenveen,1–0,Twente,21022,Abe Lenstra Stadion,Marc Nagtegaal,Match Report,
,,,,,,,,,,,
2,Fri,2026-08-14,20:00,Telstar,1–3,Sparta R.,5320,BUKO Stadion,Ingmar Oostrom,Match Report,
2,Sat,2026-08-15,16:30,Willem II,1–4,NEC Nijmegen,14600,Koning Willem II Stadion,Serdar Gözübüyük,Match Report,
2,Sat,2026-08-15,18:45,Utrecht,1–4,AZ Alkmaar,22738,Stadion Galgenwaard,Danny Makkelie,Match Report,
2,Sat,2026-08-15,20:00,Excelsior,1–2,PSV,4600,Van Donge & De Roo Stadion,Marc Nagtegaal,Match Report,
2,Sat,2026-08-15,21:00,Fortuna Sittard,3–1,Cambuur,9547,Fortuna Sittard Stadion,Martin van den Kerkhof,Match Report,
2,Sun,2026-08-16,12:15,ADO Den Haag,1–4,Groningen,13459,Bingoal Stadion,Jeroen Manschot,Match Report,
2,Sun,2026-08-16,14:30,Feyenoord,2–2,Go Ahead Eagles,47500,Stadion Feijenoord,Joey Kooij,Match Report,
2,Sun,2026-08-16,14:30,Twente,3–1,Zwolle,29500,De Grolsch Veste,Allard Lindhout,Match Report,
2,Sun,2026-08-16,16:45,Ajax,2–2,Heerenveen,54239,Johan Cruijff Arena,Alex Bos,Match Report,
,,,,,,,,,,,
3,Sat,2026-08-22,16:30,Fortuna Sittard,0–2,AZ Alkmaar,10132,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,
3,Sat,2026-08-22,18:45,Sparta R.,3–3,Utrecht,10121,Sparta-Stadion Het Kasteel,Dennis Higler,Match Report,
3,Sat,2026-08-22,21:00,Heerenveen,0–2,Zwolle,21900,Abe Lenstra Stadion,Richard Martens,Match Report,
3,Sun,2026-08-23,12:15,Go Ahead Eagles,3–1,ADO Den Haag,9524,De Adelaarshorst,Sander van der Eijk,Match Report,
3,Sun,2026-08-23,14:30,PSV,5–1,Groningen,34800,Philips Stadion,Allard Lindhout,Match Report,
3,Sun,2026-08-23,16:45,Cambuur,2–5,Feyenoord,14817,Kooi Stadion,Danny Makkelie,Match Report,
,,,,,,,,,,,
4,Fri,2026-08-28,20:00,Groningen,2–3,Fortuna Sittard,22000,Euroborg,Martijn Vos,Match Report,
4,Sat,2026-08-29,16:30,Excelsior,2–1,Sparta R.,4600,Van Donge & De Roo Stadion,Serdar Gözübüyük,Match Report,
4,Sat,2026-08-29,18:45,AZ Alkmaar,5–2,Go Ahead Eagles,18213,AFAS Stadion,Alex Bos,Match Report,
4,Sat,2026-08-29,21:00,Zwolle,1–3,NEC Nijmegen,13805,MAC³PARK Stadion,Joey Kooij,Match Report,
4,Sun,2026-08-30,12:15,Utrecht,1–6,PSV,22948,Stadion Galgenwaard,Jeroen Manschot,Match Report,
4,Sun,2026-08-30,14:30,Feyenoord,2–2,ADO Den Haag,47500,Stadion Feijenoord,Robin Hensgens,Match Report,
4,Sun,2026-08-30,14:30,Willem II,2–2,Heerenveen,15000,Koning Willem II Stadion,Jannick van der Laan,Match Report,
4,Sun,2026-08-30,16:45,Telstar,0–4,Ajax,5146,BUKO Stadion,Dennis Higler,Match Report,
4,Sun,2026-08-30,20:00,Cambuur,1–4,Twente,13105,Kooi Stadion,Erwin Blank,Match Report,
,,,,,,,,,,,
5,Fri,2026-09-04,20:00,Sparta R.,2–2,Zwolle,10232,Sparta-Stadion Het Kasteel,Stan Teuben,Match Report,
5,Sat,2026-09-05,16:30,NEC Nijmegen,1–3,Feyenoord,12650,Goffertstadion,Allard Lindhout,Match Report,
5,Sat,2026-09-05,20:00,Ajax,1–3,PSV,53332,Johan Cruijff Arena,Sander van der Eijk,Match Report,
5,Sat,2026-09-05,21:00,Willem II,0–3,Excelsior,14600,Koning Willem II Stadion,Robin Hensgens,Match Report,
5,Sun,2026-09-06,12:15,Groningen,2–2,Twente,21435,Euroborg,Danny Makkelie,Match Report,
